Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput
Enc,False,0,16,254,0.063
Enc,False,0,64,338,0.189
Enc,False,0,256,674,0.38
Enc,False,0,512,1122,0.456
Enc,False,0,1536,2914,0.527
Enc,False,0,long,448,0.571
Enc,False,16,0,422,0.038
Enc,False,64,0,554,0.116
Enc,False,256,0,1082,0.237
Enc,False,512,0,1786,0.287
Enc,False,1536,0,4602,0.334
Enc,False,long,0,704,0.364
Enc,False,16,16,450,0.071
Enc,False,64,64,666,0.192
Enc,False,256,256,1530,0.335
Enc,False,512,512,2682,0.382
Enc,False,1536,1536,7290,0.421
Enc,False,long,long,1152,0.444
Enc,True,0,16,251,0.064
Enc,True,0,64,335,0.191
Enc,True,0,256,671,0.382
Enc,True,0,512,1119,0.458
Enc,True,0,1536,2911,0.528
Enc,True,0,long,448,0.571
Enc,True,16,0,419,0.038
Enc,True,64,0,551,0.116
Enc,True,256,0,1079,0.237
Enc,True,512,0,1783,0.287
Enc,True,1536,0,4599,0.334
Enc,True,long,0,704,0.364
Enc,True,16,16,447,0.072
Enc,True,64,64,663,0.193
Enc,True,256,256,1527,0.335
Enc,True,512,512,2679,0.382
Enc,True,1536,1536,7287,0.422
Enc,True,long,long,1152,0.444
Dec,False,0,16,252,0.063
Dec,False,0,64,336,0.19
Dec,False,0,256,672,0.381
Dec,False,0,512,1120,0.457
Dec,False,0,1536,2912,0.527
Dec,False,0,long,448,0.571
Dec,False,16,0,421,0.038
Dec,False,64,0,553,0.116
Dec,False,256,0,1081,0.237
Dec,False,512,0,1785,0.287
Dec,False,1536,0,4601,0.334
Dec,False,long,0,704,0.364
Dec,False,16,16,449,0.071
Dec,False,64,64,665,0.192
Dec,False,256,256,1529,0.335
Dec,False,512,512,2681,0.382
Dec,False,1536,1536,7289,0.421
Dec,False,long,long,1152,0.444
Dec,True,0,16,249,0.064
Dec,True,0,64,333,0.192
Dec,True,0,256,669,0.383
Dec,True,0,512,1117,0.458
Dec,True,0,1536,2909,0.528
Dec,True,0,long,448,0.571
Dec,True,16,0,418,0.038
Dec,True,64,0,550,0.116
Dec,True,256,0,1078,0.237
Dec,True,512,0,1782,0.287
Dec,True,1536,0,4598,0.334
Dec,True,long,0,704,0.364
Dec,True,16,16,446,0.072
Dec,True,64,64,662,0.193
Dec,True,256,256,1526,0.336
Dec,True,512,512,2678,0.382
Dec,True,1536,1536,7286,0.422
Dec,True,long,long,1152,0.444
Hash,False,16,0,105,0.152
Hash,False,64,0,189,0.339
Hash,False,256,0,525,0.488
Hash,False,512,0,973,0.526
Hash,False,1536,0,2765,0.556
Hash,False,long,0,448,0.571
