Op,Reuse Key,msgBytes,adBytes,Cycles,Throughput
Enc,False,0,16,254,0.06299212598425197
Enc,False,0,64,338,0.1893491124260355
Enc,False,0,256,674,0.3798219584569733
Enc,False,0,512,1122,0.4563279857397504
Enc,False,0,1536,2914,0.5271105010295127
Enc,False,0,long,448,0.5714285714285714
Enc,False,16,0,422,0.037914691943127965
Enc,False,64,0,554,0.11552346570397112
Enc,False,256,0,1082,0.2365988909426987
Enc,False,512,0,1786,0.2866741321388578
Enc,False,1536,0,4602,0.33376792698826596
Enc,False,long,0,704,0.36363636363636365
Enc,False,16,16,450,0.07111111111111111
Enc,False,64,64,666,0.1921921921921922
Enc,False,256,256,1530,0.33464052287581697
Enc,False,512,512,2682,0.38180462341536164
Enc,False,1536,1536,7290,0.4213991769547325
Enc,False,long,long,1152,0.4444444444444444
Enc,True,0,16,251,0.06374501992031872
Enc,True,0,64,335,0.191044776119403
Enc,True,0,256,671,0.38152011922503726
Enc,True,0,512,1119,0.4575513851653262
Enc,True,0,1536,2911,0.5276537272414977
Enc,True,0,long,448,0.5714285714285714
Enc,True,16,0,419,0.03818615751789976
Enc,True,64,0,551,0.1161524500907441
Enc,True,256,0,1079,0.23725671918443003
Enc,True,512,0,1783,0.2871564778463264
Enc,True,1536,0,4599,0.3339856490541422
Enc,True,long,0,704,0.36363636363636365
Enc,True,16,16,447,0.07158836689038031
Enc,True,64,64,663,0.19306184012066366
Enc,True,256,256,1527,0.33529796987557303
Enc,True,512,512,2679,0.3822321761851437
Enc,True,1536,1536,7287,0.4215726636475916
Enc,True,long,long,1152,0.4444444444444444
Dec,False,0,16,252,0.06349206349206349
Dec,False,0,64,336,0.19047619047619047
Dec,False,0,256,672,0.38095238095238093
Dec,False,0,512,1120,0.45714285714285713
Dec,False,0,1536,2912,0.5274725274725275
Dec,False,0,long,448,0.5714285714285714
Dec,False,16,0,421,0.03800475059382423
Dec,False,64,0,553,0.11573236889692586
Dec,False,256,0,1081,0.23681776133209992
Dec,False,512,0,1785,0.2868347338935574
Dec,False,1536,0,4601,0.3338404694631602
Dec,False,long,0,704,0.36363636363636365
Dec,False,16,16,449,0.07126948775055679
Dec,False,64,64,665,0.1924812030075188
Dec,False,256,256,1529,0.33485938521909747
Dec,False,512,512,2681,0.38194703468854907
Dec,False,1536,1536,7289,0.42145698998490877
Dec,False,long,long,1152,0.4444444444444444
Dec,True,0,16,249,0.0642570281124498
Dec,True,0,64,333,0.1921921921921922
Dec,True,0,256,669,0.38266068759342303
Dec,True,0,512,1117,0.4583706356311549
Dec,True,0,1536,2909,0.5280165005156411
Dec,True,0,long,448,0.5714285714285714
Dec,True,16,0,418,0.03827751196172249
Dec,True,64,0,550,0.11636363636363636
Dec,True,256,0,1078,0.23747680890538034
Dec,True,512,0,1782,0.287317620650954
Dec,True,1536,0,4598,0.33405828621139627
Dec,True,long,0,704,0.36363636363636365
Dec,True,16,16,446,0.07174887892376682
Dec,True,64,64,662,0.1933534743202417
Dec,True,256,256,1526,0.33551769331585846
Dec,True,512,512,2678,0.38237490664675133
Dec,True,1536,1536,7286,0.421630524293165
Dec,True,long,long,1152,0.4444444444444444
Hash,False,16,0,105,0.1523809523809524
Hash,False,64,0,189,0.3386243386243386
Hash,False,256,0,525,0.4876190476190476
Hash,False,512,0,973,0.526207605344296
Hash,False,1536,0,2765,0.5555153707052441
Hash,False,long,0,448,0.5714285714285714
